RMA,account,bt_mac,rssi,uuid,beacon_type,proximity,beacon_gateway_IPEI,beacon_gateway_name,time_stamp,server_time_stamp,timeout
1,000413B40F91,000413B40F91,-77,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,2,0328D783C6,0328D783C6,2021-02-28 17:01:50.131885,2021-02-15 12:22:32,1136358
1,000413B40F91,000413B40F91,-78,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,0,0328D7848C,Meeting6OG,2021-02-28 17:01:50.131885,2021-02-25 10:55:30,277580
1,000413B40F91,000413B40F91,-83,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,0,0328D78490,Kueche6OG,2021-02-28 17:01:50.131885,2021-02-28 16:00:44,66
1,000413B40F91,000413B40F91,-73,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,2,0328D3C8FC,RMA7OG,2021-02-28 17:01:50.131885,2021-02-28 16:01:47,3
