"Heizung Lüftung Klima","0/-/-","","","","","Auto"
"EG Küche Komfort Modus","0/1/47","","","","DPST-1-2","Auto"
"EG Küche Standby Modus","0/1/48","","","","DPST-1-2","Auto"
"EG Küche Nacht Modus","0/1/49","","","","DPST-1-2","Auto"
"EG Küche Ausschalt Steuerung","0/1/50","","","","DPST-1-1","Auto"
"EG Küche RHCC Status Rückmeldung","0/1/51","","","","DPST-22-101","Auto"
"EG Küche Vorhang Sollwert Rückmeldung","0/1/52","","","","DPST-9-1","Auto"
"EG Küche Sollwert Einstellung Rückmeldung","0/1/53","","","","DPST-9-1","Auto"
"EG Küche HVAC Status Rückmeldung","0/1/54","","","","","Auto"
"EG Küche Frost/Heizen Sicherheits Rückmeldung","0/1/55","","","","DPST-1-2","Auto"
"EG Küche Komfort Modus Rückmeldung","0/1/56","","","","DPST-1-2","Auto"
"EG Küche Standby Modus Rückmeldung","0/1/57","","","","DPST-1-2","Auto"
"EG Küche Nacht Modus Rückmeldung","0/1/58","","","","DPST-1-2","Auto"
"--- EG Essplatz---","0/1/60","","","","","Auto"
"EG Essplatz Sollwerte (Basis-Sollwert)","0/1/61","","","","DPST-9-1","Auto"
"EG Essplatz Sollwert Einstellung (Soll-Temperatur)","0/1/62","","","","DPST-1-8","Auto"
"EG Essplatz Ventilstellgrösse RM","0/1/63","","","","DPST-5-1","Auto"
"EG Essplatz Heizen Stellgrösse","0/1/64","","","","DPST-5-1","Auto"
"EG Essplatz HVAC Modus","0/1/65","","","","DPST-20-102","Auto"
"EG Essplatz Frost/Heizen Sicherheits Modus","0/1/66","","","","DPST-1-2","Auto"
"EG Essplatz Komfort Modus","0/1/67","","","","DPST-1-2","Auto"
"EG Essplatz Standby Modus","0/1/68","","","","DPST-1-2","Auto"
"EG Essplatz Nacht Modus","0/1/69","","","","DPST-1-2","Auto"
"EG Essplatz Ausschalt Steuerung","0/1/70","","","","DPST-1-1","Auto"
"EG Essplatz RHCC Status Rückmeldung","0/1/71","","","","DPST-22-101","Auto"
"EG Essplatz Vorhang Sollwert Rückmeldung","0/1/72","","","","DPST-9-1","Auto"
"EG Essplatz Sollwert Einstellung Rückmeldung","0/1/73","","","","DPST-9-1","Auto"
"EG Essplatz HVAC Status Rückmeldung","0/1/74","","","","","Auto"
"EG Essplatz Frost/Heizen Sicherheits Rückmeldung","0/1/75","","","","DPST-1-2","Auto"
"EG Essplatz Komfort Modus Rückmeldung","0/1/76","","","","DPST-1-2","Auto"
"EG Essplatz Standby Modus Rückmeldung","0/1/77","","","","DPST-1-2","Auto"
"EG Essplatz Nacht Modus Rückmeldung","0/1/78","","","","DPST-1-2","Auto"
"--- EG Office ---","0/1/80","","","","","Auto"
"EG Office Sollwerte (Basis-Sollwert)","0/1/81","","","","DPST-9-1","Auto"
"EG Office Sollwert Einstellung (Soll-Temperatur)","0/1/82","","","","DPST-1-8","Auto"
"EG Office Ventilstellgrösse RM","0/1/83","","","","DPST-5-1","Auto"
"EG Office Heizen Stellgrösse","0/1/84","","","","DPST-5-1","Auto"
"EG Office HVAC Modus","0/1/85","","","","DPST-20-102","Auto"
"EG Office Frost/Heizen Sicherheits Modus","0/1/86","","","","DPST-1-2","Auto"
"EG Office Komfort Modus","0/1/87","","","","DPST-1-2","Auto"
"EG Office Standby Modus","0/1/88","","","","DPST-1-2","Auto"
"EG Office Nacht Modus","0/1/89","","","","DPST-1-2","Auto"
"EG Office Ausschalt Steuerung","0/1/90","","","","DPST-1-1","Auto"
"EG Office RHCC Status Rückmeldung","0/1/91","","","","DPST-22-101","Auto"
"EG Office Vorhang Sollwert Rückmeldung","0/1/92","","","","DPST-9-1","Auto"
"EG Office Sollwert Einstellung Rückmeldung","0/1/93","","","","DPST-9-1","Auto"
"EG Office HVAC Status Rückmeldung","0/1/94","","","","","Auto"
"EG Office Frost/Heizen Sicherheits Rückmeldung","0/1/95","","","","DPST-1-2","Auto"
